Date;;THUL;SOPB;SOPO
20/1/2005 0:00;;102.400;118.730;235.990
20/1/2005 0:01;;102.430;119.580;238.560
20/1/2005 0:02;;101.500;121.530;235.160
20/1/2005 0:03;;101.990;120.740;233.380
20/1/2005 0:04;;105.480;117.500;236.370
20/1/2005 0:05;;101.210;118.800;236.380
20/1/2005 0:06;;104.140;120.860;233.850
20/1/2005 0:07;;103.820;120.020;237.510
20/1/2005 0:08;;101.980;118.590;234.240
20/1/2005 0:09;;101.980;120.810;233.910
20/1/2005 0:10;;100.710;118.410;237.110
20/1/2005 0:11;;102.670;120.250;232.090
20/1/2005 0:12;;99.460;122.960;235.300
20/1/2005 0:13;;103.550;121.110;236.070
20/1/2005 0:14;;100.640;118.980;232.060
20/1/2005 0:15;;101.060;118.250;233.510
20/1/2005 0:16;;101.680;120.390;235.230
20/1/2005 0:17;;100.620;118.920;242.360
20/1/2005 0:18;;101.940;120.950;237.670
20/1/2005 0:19;;101.210;121.560;233.650
20/1/2005 0:20;;102.010;119.010;239.660
20/1/2005 0:21;;100.240;121.350;239.250
20/1/2005 0:22;;103.530;120.240;238.320
20/1/2005 0:23;;99.570;122.050;235.740
20/1/2005 0:24;;100.570;120.600;232.640
20/1/2005 0:25;;102.810;122.240;239.910
20/1/2005 0:26;;99.740;121.210;236.150
20/1/2005 0:27;;102.820;117.600;238.250
20/1/2005 0:28;;102.250;120.570;241.560
20/1/2005 0:29;;101.500;124.310;240.230
20/1/2005 0:30;;100.580;119.270;237.140
20/1/2005 0:31;;102.290;121.110;239.300
20/1/2005 0:32;;105.630;121.950;239.370
20/1/2005 0:33;;101.150;119.000;233.410
20/1/2005 0:34;;101.990;121.110;239.970
20/1/2005 0:35;;104.870;121.320;235.560
20/1/2005 0:36;;100.160;122.250;235.710
20/1/2005 0:37;;101.470;117.670;240.000
20/1/2005 0:38;;102.360;120.250;245.490
20/1/2005 0:39;;102.030;119.670;237.240
20/1/2005 0:40;;102.350;121.570;240.830
20/1/2005 0:41;;104.090;122.340;235.970
20/1/2005 0:42;;102.780;120.810;236.540
20/1/2005 0:43;;99.330;122.950;239.560
20/1/2005 0:44;;101.820;120.760;236.340
20/1/2005 0:45;;104.100;125.760;234.800
20/1/2005 0:46;;99.620;119.960;235.030
20/1/2005 0:47;;101.050;116.740;236.380
20/1/2005 0:48;;103.050;123.190;239.790
20/1/2005 0:49;;101.020;122.840;237.560
20/1/2005 0:50;;104.190;120.260;237.920
20/1/2005 0:51;;103.420;119.580;238.200
20/1/2005 0:52;;104.880;120.600;233.070
20/1/2005 0:53;;100.390;121.160;240.240
20/1/2005 0:54;;100.000;119.570;240.110
20/1/2005 0:55;;102.750;121.540;234.380
20/1/2005 0:56;;103.010;118.790;239.510
20/1/2005 0:57;;101.470;121.740;240.960
20/1/2005 0:58;;101.830;118.970;241.630
20/1/2005 0:59;;101.630;120.040;240.380
20/1/2005 1:00;;103.380;123.620;236.310
20/1/2005 1:01;;100.330;122.120;239.520
20/1/2005 1:02;;98.000;121.340;239.570
20/1/2005 1:03;;101.360;122.820;235.880
20/1/2005 1:04;;100.900;121.670;237.930
20/1/2005 1:05;;100.710;118.860;239.500
20/1/2005 1:06;;101.490;119.550;237.070
20/1/2005 1:07;;101.180;122.270;236.040
20/1/2005 1:08;;100.820;120.110;240.820
20/1/2005 1:09;;101.830;121.980;232.940
20/1/2005 1:10;;100.690;119.470;235.700
20/1/2005 1:11;;100.150;118.860;239.040
20/1/2005 1:12;;100.070;123.630;238.410
20/1/2005 1:13;;99.840;119.460;233.710
20/1/2005 1:14;;101.420;122.910;237.470
20/1/2005 1:15;;102.790;120.770;230.010
20/1/2005 1:16;;103.830;124.540;235.440
20/1/2005 1:17;;103.140;121.540;238.330
20/1/2005 1:18;;99.150;119.060;237.150
20/1/2005 1:19;;104.180;119.330;235.320
20/1/2005 1:20;;101.230;120.130;238.010
